Designator,Mid X,Mid Y,Layer,Rotation
C1,96.4218mm,99.1286mm,Bottom,90
C10,104.4862mm,99.1985mm,Bottom,90
C11,102.9862mm,99.1985mm,Bottom,90
C12,103.1862mm,92.1305mm,Bottom,270
C13,101.6862mm,92.1305mm,Bottom,270
C14,93.8524mm,136.7656mm,Bottom,180
C15,93.8524mm,135.2656mm,Bottom,180
C16,93.8524mm,133.7656mm,Bottom,180
C17,100.9204mm,136.5656mm,Bottom,0
C18,100.9204mm,135.0656mm,Bottom,0
C19,105.9000mm,83.2600mm,Top,0
C2,94.9218mm,99.1286mm,Bottom,90
C20,105.9000mm,80.5600mm,Top,0
C21,116.3737mm,165.9980mm,Top,315
C22,118.2829mm,167.9071mm,Top,315
C23,89.1000mm,83.2600mm,Top,180
C24,89.1000mm,80.5600mm,Top,180
C25,93.6000mm,165.4900mm,Top,180
C26,93.6000mm,168.1900mm,Top,180
C27,106.4000mm,165.4900mm,Top,0
C28,106.4000mm,168.1900mm,Top,0
C29,83.6263mm,165.9980mm,Top,225
C3,99.4218mm,99.1286mm,Bottom,90
C30,81.7171mm,167.9072mm,Top,225
C31,104.1977mm,114.2472mm,Bottom,180
C4,97.9218mm,99.1286mm,Bottom,90
C5,87.2776mm,136.9982mm,Bottom,0
C6,118.6301mm,149.2120mm,Bottom,0
C7,87.2776mm,135.4982mm,Bottom,0
C8,118.6301mm,147.7120mm,Bottom,0
C9,105.9862mm,99.1985mm,Bottom,90
D1,113.9330mm,91.7289mm,Top,270
D2,115.4330mm,91.7289mm,Top,270
J1,86.0000mm,98.2700mm,Top,270
J10,118.0000mm,171.7200mm,Top,0
J11,89.5000mm,77.0300mm,Top,180
J12,94.0000mm,171.7200mm,Top,0
J13,106.0000mm,171.7200mm,Top,0
J14,82.0000mm,171.7200mm,Top,0
J15,78.0000mm,150.0000mm,Top,90
J16,122.0000mm,150.0000mm,Top,90
J17,78.0000mm,97.0000mm,Top,90
J18,122.0000mm,97.0000mm,Top,90
J19,105.0000mm,107.7870mm,Top,180
J20,119.4600mm,91.9200mm,Top,90
J21,94.8173mm,106.5174mm,Top,0
J22,94.8173mm,103.9774mm,Top,0
J23,94.8173mm,109.0574mm,Top,0
J3,105.0000mm,105.2470mm,Top,180
J4,115.3229mm,102.2251mm,Top,180
J5,82.0000mm,94.4600mm,Top,90
J6,77.8000mm,114.7000mm,Top,270
J7,122.8320mm,118.0000mm,Top,90
J8,122.0000mm,110.1118mm,Top,270
J9,105.5000mm,77.0300mm,Top,180
L1,105.5000mm,81.9100mm,Top,270
L2,117.0454mm,167.2354mm,Top,45
L3,89.5000mm,81.9100mm,Top,270
L4,94.0000mm,166.8400mm,Top,90
L5,106.0000mm,166.8400mm,Top,90
L6,82.9546mm,167.2354mm,Top,135
R1,113.9330mm,94.7289mm,Top,270
R2,115.4330mm,94.7289mm,Top,270
SW_RST,77.0250mm,135.0000mm,Top,270
SW_U1,123.0220mm,135.5000mm,Top,90
SW_U2,122.9680mm,127.3720mm,Top,90
U1,100.2350mm,92.4550mm,Top,180
U2,100.1250mm,137.0000mm,Top,90
U3,102.9862mm,95.6705mm,Bottom,270
U4,97.3804mm,138.0656mm,Bottom,0
U5,97.3804mm,135.0656mm,Bottom,0
U6,97.3804mm,132.0656mm,Bottom,0
U7,109.2850mm,114.8823mm,Bottom,0
